symbol,date,source,open,close,adj_close,volume,status,note
GLD,2026-06-30,tiingo,369.220000,368.380000,368.380000,5302053,ok,ticker=gld
GLD,2026-04-30,stockdata_yfinance,425.339996,,423.660004,6732800,ok,ticker=GLD auto_adjust=True
GLD,2026-05-29,stockdata_yfinance,415.619995,,417.119995,7705700,ok,ticker=GLD auto_adjust=True
GLD,2026-06-30,stockdata_yfinance,369.220001,,368.380005,5302100,ok,ticker=GLD auto_adjust=True
SPY,2026-04-30,alpaca,714.670000,718.410000,,1976926,ok,feed=iex adjustment=raw
SPY,2026-05-29,alpaca,755.865000,756.340000,,1674069,ok,feed=iex adjustment=raw
SPY,2026-06-30,alpaca,741.300000,746.650000,,1509022,ok,feed=iex adjustment=raw
SPY,2026-04-30,eodhd,714.630000,718.660000,716.813800,67240900,ok,ticker=SPY.US
SPY,2026-05-29,eodhd,755.900000,756.480000,754.536600,55075700,ok,ticker=SPY.US
SPY,2026-06-30,eodhd,741.290000,746.770000,746.770000,55626000,ok,ticker=SPY.US
SPY,2026-04-30,tiingo,714.630000,718.660000,716.832721,67240949,ok,ticker=spy
SPY,2026-05-29,tiingo,755.900000,756.480000,754.556559,55075739,ok,ticker=spy
SPY,2026-06-30,tiingo,741.290000,746.770000,746.770000,55626035,ok,ticker=spy
SPY,2026-04-30,stockdata_yfinance,712.793681,,716.813293,67240900,ok,ticker=SPY auto_adjust=True
SPY,2026-05-29,stockdata_yfinance,753.957667,,754.536133,55075700,ok,ticker=SPY auto_adjust=True
SPY,2026-06-30,stockdata_yfinance,741.289978,,746.770020,55626000,ok,ticker=SPY auto_adjust=True
TQQQ,2026-04-30,alpaca,62.890000,63.490000,,1382116,ok,feed=iex adjustment=raw
TQQQ,2026-05-29,alpaca,84.380000,84.540000,,1099204,ok,feed=iex adjustment=raw
TQQQ,2026-06-30,alpaca,77.300000,80.990000,,853081,ok,feed=iex adjustment=raw
TQQQ,2026-04-30,eodhd,62.890000,63.540000,63.393800,81042700,ok,ticker=TQQQ.US
TQQQ,2026-05-29,eodhd,84.410000,84.560000,84.365500,67644100,ok,ticker=TQQQ.US
TQQQ,2026-06-30,eodhd,77.240000,81.000000,81.000000,58466200,ok,ticker=TQQQ.US
